Aproveitamento Hidráulico;Source;Lat;Lon;Capacity_Web;Código da massa de água;Data CC - Início;Data CC - Termo;Designação da Massa de água;Finalidade CC;Match_Method;N.º Contrato Concessão (CC);OSM_ID;Operator_Web;Outros Usos albufeira;RH;Região hidrográfica;Web_Name;﻿Bacia Hidrográfica
"Alto Cávado caudais
derivados para Alto Rabagão";Both;41.7384679;-7.8592252;66 MW;PT02CAV0062;08/03/2008;31/12/2042;Rio Cávado;Energia;Substring;CC N.º  03/ENERGIA/INAG/2008;18745193;Energias de Portugal;-;RH2;Cávado, Ave e Leça;Central Hidroelétrica do Alto Rabagão;Cávado
Alto Rabagão;APA;;;;PT02CAV0072;08/03/2008;31/12/2042;Albufeira do Alto Rabagão;Energia;;CC N.º  03/ENERGIA/INAG/2008;;;Abastecimento público - CC;RH2;Cávado, Ave e Leça;;Cávado
Brufe (deriva para AH Vilarinho das Furnas);Both;41.7002889;-8.176221;125 MW;PT02CAV0070;08/03/2008;31/12/2052;Rio Homem (HMWB - Jusante B. Vilarinho das Furnas);Energia;Substring;CC N.º  08/ENERGIA/INAG/2008;805803314;Energias de Portugal;-;RH2;Cávado, Ave e Leça;Central Hidroelétrica de Vilarinho das Furnas;Cávado
"Cabril (deriva para AH
Paradela)";Both;39.917574;-8.1323416;106 MW;PT02CAV0073;08/03/2008;31/12/2032;Ribeira de Cabril;Energia;Substring;CC N.º  05/ENERGIA/INAG/2008;1426934786;Energias de Portugal;-;RH2;Cávado, Ave e Leça;Central Hidroelétrica do Cabril;Cávado
Caniçada;Both;41.6538623;-8.2331806;62 MW;PT02CAV0086;08/03/2008;31/12/2032;Albufeira da Caniçada;Energia;Exact;CC N.º  07/ENERGIA/INAG/2008;1227767799;Energias de Portugal;Lazer;RH2;Cávado, Ave e Leça;Central Hidroelétrica da Caniçada;Cávado
"Castanheiro (deriva para AH
Paradela)";APA;;;;PT02CAV0076;08/03/2008;31/12/2032;"Rio Cávado (HMWB - Jusante
B. Paradela)";Energia;;CC N.º  05/ENERGIA/INAG/2008;;;-;RH2;Cávado, Ave e Leça;;Cávado
"Freitas (deriva para AH
Vilarinho das Furnas)";APA;;;;PT02CAV0079;08/03/2008;31/12/2052;Rio Caldo;Energia;;CC N.º  08/ENERGIA/INAG/2008;;;-;RH2;Cávado, Ave e Leça;;Cávado
Gemesura (deriva para AH Vilarinho das Furnas);APA;;;;PT02CAV0070;08/03/2008;31/12/2052;Rio Homem (HMWB - Jusante B. Vilarinho das Furnas);Energia;;CC N.º  08/ENERGIA/INAG/2008;;;-;RH2;Cávado, Ave e Leça;;Cávado
Mesa do Galo_Borralha;APA;;;;PT02CAV0084;18/11/1997;18/11/2032;Ribeira de Amiar;Energia;;"Alvará de Licença nº 009/C.-A.H.E, de
18/11/1997";;;-;RH2;Cávado, Ave e Leça;;Cávado
Paradela;APA;;;;PT02CAV0068;08/03/2008;31/12/2032;Albufeira de Paradela;Energia;;CC N.º  05/ENERGIA/INAG/2008;;;-;RH2;Cávado, Ave e Leça;;Cávado
"Penedo (deriva para AH
Paradela)";APA;;;;PT02CAV0073;08/03/2008;31/12/2032;Ribeira de Cabril;Energia;;CC N.º  05/ENERGIA/INAG/2008;;;-;RH2;Cávado, Ave e Leça;;Cávado
Penide;Both;41.5489364;-8.5373;4.9 MW;PT02CAV0095;24/04/1967;23/04/2027;Rio Cávado;Energia;Exact;"Decreto de 24 de abril de 1967, publicado a
24.4.1967";8057850;Aquila Capital;Abastecimento público - CC;RH2;Cávado, Ave e Leça;Central Hidroelétrica de Penide;Cávado
Ponte do Bico/Palmeira;Both;41.605861;-8.4273923;2.2 MW;PT02CAV0090;em avaliação;em avaliação;"Rio Cávado (HMWB - Jusante
B. Caniçada)";Energia;Substring;Alvará de Licença nº 60/90 de 17/10/1990;1227604648;GESFINU;-;RH2;Cávado, Ave e Leça;Central Hidroelétrica da Ponte do Bico;Cávado
Ruães;Both;41.5845195;-8.4801888;1.8 MW;PT02CAV0095;19/09/2003;29/05/2036;Rio Cávado;Energia;Exact;"Alvará de Licença Nº 028/C-A.H.E. de 19-09-
2003";361993687;RP GLOBAL PORTUGAL;-;RH2;Cávado, Ave e Leça;Aproveitamento Hidroelétrico de Ruães;Cávado
Ruivães (Açude);APA;;;;PT02CAV0082;01/01/2017;01/01/2052;Rio de Saltadouro;Energia;;"CC N.º 00013/2009-RH2.1196.E de
16/09/2009";;;-;RH2;Cávado, Ave e Leça;;Cávado
Salamonde;Both;41.6897571;-8.0909475;222.7 MW;PT02CAV0080;08/03/2008;31/12/2070;Albufeira de Salamonde;Energia;Substring;CC N.º  06/ENERGIA/INAG/2008;1426280012;Energias de Portugal;-;RH2;Cávado, Ave e Leça;Central Hidroelétrica de Salamonde II;Cávado
Sela (deriva para AH Paradela);APA;;;;PT02CAV0076;08/03/2008;31/12/2032;"Rio Cávado (HMWB - Jusante
B. Paradela)";Energia;;CC N.º  05/ENERGIA/INAG/2008;;;-;RH2;Cávado, Ave e Leça;;Cávado
"Toco (deriva para AH
Paradela)";APA;;;;PT02CAV0077;08/03/2008;31/12/2032;Rio de Fafião;Energia;;CC N.º  05/ENERGIA/INAG/2008;;;-;RH2;Cávado, Ave e Leça;;Cávado
Venda Nova;Both;41.7018755;-8.0074134;88 MW;PT02CAV0083;08/03/2008;31/12/2070;Albufeira da Venda Nova;Energia;Exact;CC N.º  04/ENERGIA/INAG/2008;1427805693;Energias de Portugal;Abastecimento público - CC;RH2;Cávado, Ave e Leça;Central Hidroelétrica de Venda Nova;Cávado
Vilarinho das Furnas;APA;;;;PT02CAV0069;08/03/2008;31/12/2052;"Albufeira de Vilarinho das
Furnas";Energia;;CC N.º  08/ENERGIA/INAG/2008;;;-;RH2;Cávado, Ave e Leça;;Cávado
"Açude de Covas (AH de Covas
do Barroso)";APA;;;;PT03DOU0204;07/02/1995;07/02/2030;Rio Covas;Energia;;Alvará de Licença nº 111, de 01/09/1993;;;-;RH3;Douro;;Douro
"Açude do Couto (AH de Covas
do Barroso)";APA;;;;PT03DOU0204;07/02/1995;07/02/2030;Rio Covas;Energia;;Alvará de Licença nº 111, de 01/09/1993;;;-;RH3;Douro;;Douro
"Açude na Rª de Chã do Meio
(deriva para AH Vales)";Both;41.4419017;-7.4985165;3.2 MW;PT03DOU0263;02/07/1905;09/03/2044;Rio Tinhela;Energia;Substring;C00005/2010-RH3.12.A;148325362;HIDROERG;-;RH3;Douro;Aproveitamento Hidroelétrico de Vales;Douro
Açude Vales;APA;;;;PT03DOU0263;02/07/1905;09/03/2044;Rio Tinhela;Energia;;C00005/2010-RH3.12.A,;;;-;RH3;Douro;;Douro
"Açude Veiga de Chaves/Aç.
Vila Verde da Raia";APA;;;;PT03DOU0226NA1;19/06/2018;12/02/2036;Rio Tâmega;Rega;;CC N.º 002/2018-RH3.1212.A, de 19.6.2018;;;-;RH3;Douro;;Douro
"Açude-Ponte de Mirandela
(AH Ponte Europa)";Both;41.4809338;-7.1886355;1 MW;PT03DOU0331B;25/11/2010;08/10/2044;Rio Tua;Energia;Substring;C00010/2010-RH3-1214-A, de 25/11/2010;1227829991;Egeve;-;RH3;Douro;Aproveitamento Hidroelétrico da Ponte Europa;Douro
Agilde;Both;41.3545294;-8.1028724;2 MW;PT03DOU0297;01/10/2012;01/10/2047;Ribeira de Santa Natália;Energia;Exact;C00004/2010,RH3.12.12.A, de 20/05/2010;1227616891;HIDROERG;-;RH3;Douro;Aproveitamento Hidroelétrico de Agilde;Douro
Alfaiates;APA;;;;PT03DOU0494;24/03/2021;31/12/2046;Ribeira da Aldeia da Ponte;Rega;;CC N.º 00002/2021-RH3.12A, de 24.3.2021;;;Lazer (balnear);RH3;Douro;;Douro
Alfândega da Fé (Estevainha);APA;;;;PT03DOU0318A;16/11/2012;16/11/2032;Ribeira do Calvário;Rega;;CC N.º 00021/2012-RH3.12.A, de 16.11.2012;;;"Abastecimento público - CC;
Lazer";RH3;Douro;;Douro
Alto Tâmega;Both;41.5737413;-7.7313444;160 MW;PT03DOU0226NA1;22/07/2022;31/12/2072;Rio Tâmega;Energia;Exact;CC N.º  32/ENERGIA/APA/2014;1429372113;Iberdrola;-;RH3;Douro;Central Hidroelétrica do Alto Tâmega;Douro
Alvadia;Both;41.4599422;-7.8078511;10 MW;PT03DOU0255D;em avaliação;em avaliação;Rio Poio;Energia;Exact;Alvará de Licença nº 10/89, de 04/12/1989;842440181;Empreendimentos Hidroeléctricos do Alto Tâmega e Barroso;-;RH3;Douro;Aproveitamento Hidroelétrico de Alvadia;Douro
Arcossó;APA;;;;PT03DOU0166;19/06/2018;12/02/2036;Ribeira de Arcosso;Rega;;CC N.º 002/2018-RH3.1212.A, de 19.6.2018;;;Abastecimento público - CC;RH3;Douro;;Douro
Aregos;Both;41.0938758;-8.0278609;3.1 MW;PT03DOU0394;29/07/2011;01/07/2028;Rio Cabrum;Energia;Exact;C00003/2011-RH3.12.A, de 29.7.2011;455366594;Aquila Capital;-;RH3;Douro;Aproveitamento Hidroelétrico de Aregos;Douro
"Armamar / (Temilobos,
Lumiares)";Both;41.0595305;-7.6724619;0.74 MW;PT03DOU0396;23/04/2013;23/04/2033;Ribeiro de Temilobos;Rega;Substring;CC N.º 00007/2013-RH3.12.A, de 23.4.2013;1227819026;Hidroeléctrica de Armamar;Abastecimento público - CC;RH3;Douro;Aproveitamento Hidroelétrico de Armamar;Douro
Assobio;Both;41.1249844;-7.9475082;1.050 MW;PT03DOU0382;17/05/1999;17/05/2034;Ribeiro do Zêzere;Energia;Exact;"Alvará de Utilização de Água nº 18 de
17/05/1999";1227567388;Mini-Hídrica do Assobio, Lda.;-;RH3;Douro;Central Hidroelétrica de Assobio;Douro
Azibo;APA;;;;PT03DOU0223;14/10/2021;11/05/2041;Albufeira do Azibo;Rega;;CC N.º 00005/2021-RH3.12.A, de 14.10.2021;;;-;RH3;Douro;;Douro
"Baixo Sabor (escalão de
montante)";APA;;;;PT03DOU0335D;01/07/2015;31/07/2090;Albufeira do Baixo Sabor;Energia;;CC N.º  27/ENERGIA/INAG/2008;;;-;RH3;Douro;;Douro
"Baixo Sabor (escalão
jusante)/Feiticeiro";APA;;;;PT03DOU0335C;01/07/2015;31/07/2090;"Albufeira do Baixo Sabor
(Jusante)";Energia;;CC N.º  27/ENERGIA/INAG/2008;;;-;RH3;Douro;;Douro
"Barreiros (Quinta da
Fervença)";Both;40.9116197;-7.5110651;0.3 MW;PT03DOU0457;22/10/1998;22/10/2033;Rio Távora;Energia;Substring;"Alvará de Licença nº 004/C - AHE, de
21/12/1996";1227819030;Hidroeléctrica AmbasAguas;-;RH3;Douro;Aproveitamento Hidroelétrico de Barreiros;Douro
Bemposta;Both;41.3000859;-6.4739321;203 MW;PT03DOU0295;08/03/2008;31/12/2056;Albufeira da Bemposta;Energia;Substring;CC N.º  11/ENERGIA/INAG/2008;542176012;Movhera;Abastecimento público - CC;RH3;Douro;Central Hidroelétrica da Bemposta II;Douro
Bouçoais - Sonim;APA;;;;PT03DOU0189N;30/06/1999;30/06/2034;Rio Rabaçal;Energia;;"Alvará de Licença  Nº 019/C - AHE de
30.6.1999";;;-;RH3;Douro;;Douro
Bragadas;Both;41.5450519;-7.7867062;10 MW;PT03DOU0300A;26/07/1996;26/07/2031;Rio Beça;Energia;Exact;Alvará de Licença nº 27 de 12.03.1990;1233656530;Empreendimentos Hidroeléctricos do Alto Tâmega e Barroso;-;RH3;Douro;Central Hidroelétrica de Bragadas;Douro
Bragado;Both;41.5816003;-7.6800116;3.1 MW;PT03DOU0211;29/05/1998;29/05/2033;Rio Avelames;Energia;Exact;"Alvará de Licença nº 002/C-A.H.E, de
08/01/1996";1316725150;HIDROERG;-;RH3;Douro;Aproveitamento Hidroelétrico de Bragado;Douro
Burga;APA;;;;PT03DOU0290;23/04/2013;23/04/2033;Ribeira da Vilariça;Rega;;"CC N.º 00008/2013-RH3.1216.A, de
23.4.2013";;;-;RH3;Douro;;Douro
Candemil;Both;41.2464506;-7.974823;2 MW;PT03DOU0319;01/12/2011;01/12/2046;Rio Ovelha;Energia;Exact;C00001/2010-RH3.12.A, de 15/04/2010;1227567397;Hidroamarante;-;RH3;Douro;Aproveitamento Hidroelétrico de Candemil;Douro
Canedo;Both;41.620693;-7.7394976;10 MW;PT03DOU0300A;em avaliação;em avaliação;Rio Beça;Energia;Exact;"1/ENERGIA/CCDRN/NORTE/2008, de
18/07/2008";1226762940;RP GLOBAL PORTUGAL;-;RH3;Douro;Central Hidroelétrica de Canedo;Douro
Carrapatelo;Both;41.0836236;-8.1302356;198 MW;PT03DOU0401;08/03/2008;31/12/2052;Albufeira do Carrapatelo;Energia;Exact;CC N.º  15/ENERGIA/INAG/2008;19569245;Energias de Portugal;"Abastecimento público - CC;
Navegação; Lazer";RH3;Douro;Central Hidroelétrica do Carrapatelo;Douro
Casal;Both;41.5442885;-8.0169093;1.1 MW;PT03DOU0238;em avaliação;em avaliação;Rio de Ouro;Energia;Exact;Alvará de Licença nº 24, de 12/03/1990;1227616899;Sociedade Hidroeléctrica do Peio;-;RH3;Douro;Aproveitamento Hidroelétrico do Casal;Douro
Catapereiro;Both;41.1404223;-7.2405417;9.8 MW;PT03DOU0372A;28/02/1997;28/02/2032;Ribeira da Teja;Energia;Exact;Alvará de Licença nº 75 de 24/01/1991;1051238938;DiretrizVerde;-;RH3;Douro;Central Hidroelétrica do Catapereiro;Douro
Cefra (Freita);Both;41.5052781;-7.9694442;1.1 MW;PT03DOU0242;14/12/2000;13/11/2030;Rio de Ouro;Energia;Substring;"DECRETO nº 27145 DE 24.10.1936,
PUBLICADO 24.10.1936";1227616901;Aquila Capital;-;RH3;Douro;Aproveitamento Hidroelétrico de Cefra;Douro
Central da Ribeira;APA;;;;PT03DOU0204;12/03/2012;12/03/2047;Rio Covas;Energia;;C00008/2012-RH3.12.12.A, de 12/03/2012;;;-;RH3;Douro;;Douro
Cerejo (Bouça Cova);Both;39.8539459;-8.219751;44 MW;PT03DOU0479A;28/11/2020;31/12/2045;Albufeira de Cerejo;Rega;Substring;CC N.º 00007/2020-RH3.12.A;455366613;Energias de Portugal;Abastecimento público - CC;RH3;Douro;Central Hidroelétrica de Bouçã;Douro
Chelo I - Mourães;Both;41.057716;-8.4870043;0.1 MW;PT03DOU0408;08/06/1994;08/06/2029;Rio Uima;Energia;Substring;Alvará de Licença nº 89, de dezembro de 1991;1227567411;IDEPA - Indústria de Passamanarias;-;RH3;Douro;Aproveitamento Hidroelétrico de Chelo I;Douro
Chelo II;APA;;;;PT03DOU0390;em avaliação;em avaliação;Rio Varosa;Energia;;Alvará Licença nº001/C-AHE, de 30/05/1995;;;-;RH3;Douro;;Douro
Crestuma-Lever;Both;41.0716865;-8.4859026;115 MW;PT03DOU0407;08/03/2008;31/12/2052;Albufeira de Crestuma-Lever;Energia;Exact;CC N.º  16/ENERGIA/INAG/2008;1227765299;Energias de Portugal;"Abastecimento público - CC;
Navegação; Lazer";RH3;Douro;Central Hidroelétrica de Crestuma-Lever;Douro
Curalha;APA;;;;PT03DOU0226NA1;23/04/2013;23/04/2033;Rio Tâmega;Rega;;"CC N.º 00005/2013-RH3.1212.A,  de
23.4.2013";;;-;RH3;Douro;;Douro
Daivões;Both;41.5242625;-7.8649437;118 MW;PT03DOU0233A;22/07/2022;31/12/2072;Albufeira de Daivões;Energia;Exact;CC N.º  32/ENERGIA/APA/2014;767834338;Iberdrola;-;RH3;Douro;Central Hidroelétrica de Daivões;Douro
Ermida (Barragem);Both;40.9203454;-7.9629907;7.6 MW;PT03DOU0452;30/11/1992;30/11/2027;Ribeira da Carvalhosa;Energia;Substring;Alvará de licença nº 14/89 de 4 de dezembro;1227795233;RP GLOBAL PORTUGAL;-;RH3;Douro;Aproveitamento Hidroelétrico da Ermida;Douro
Foz Tua;Both;41.2159123;-7.4272457;274 MW;PT03DOU0331C;04/04/2018;04/04/2093;Albufeira de Foz Tua;Energia;Exact;CC N.º  28/ENERGIA/INAG/2011;343672162;Movhera;-;RH3;Douro;Central Hidroelétrica de Foz Tua;Douro
Fráguas;Both;40.8378389;-7.7842565;3.2 MW;PT03DOU0453;03/11/1992;03/11/2027;Rio Paiva;Energia;Exact;Alvará de Licença nº 13/89 de 04/12/1989;908335955;Generg;-;RH3;Douro;Aproveitamento Hidroelétrico de Fráguas;Douro
Freigil;Both;41.0751187;-8.0232997;4.6 MW;PT03DOU0394;01/01/2011;01/07/2028;Rio Cabrum;Energia;Exact;Concessão do Contrato 5787-III de 10 de maio, publicado no DG 2R Série de 28.09.1920;455366600;Aquila Capital;-;RH3;Douro;Aproveitamento Hidroelétrico de Freigil;Douro
Gostei;APA;;;;PT03DOU0167;23/04/2013;23/04/2033;Rio Fervença;Rega;;CC N.º 00003/2013-RH3.1216A;;;-;RH3;Douro;;Douro
Gouvães;Both;41.5398495;-7.7688642;880 MW;PT03DOU0255B;22/07/2022;31/12/2072;Albufeira de Gouvães;Energia;Exact;CC N.º  32/ENERGIA/APA/2014;768250326;Iberdrola;Abastecimento público -CC;RH3;Douro;Central Hidroelétrica de Gouvães;Douro
Granja do Tedo;Both;41.0696079;-7.6139171;2.2 MW;PT03DOU0410;14/01/1997;14/01/2032;Ribeira do Tedo;Energia;Exact;"Alvará de Licença nº 008/C-A.H.E, de
14/01/1997";1227819027;Hidroelétrica da Ribeira de Leomil;-;RH3;Douro;Aproveitamento Hidroelétrico da Granja do Tedo;Douro
Hortas / Mourães;Both;41.0647886;-8.4898603;0.5 MW;PT03DOU0408;09/12/2014;09/12/2054;Rio Uima;Energia;Substring;"CC N.º  C000011/2014-RH3.12.A de
09/12/2014";1227567409;GESTHIDRO;-;RH3;Douro;Aproveitamento Hidroelétrico de Hortas;Douro
Lomba;Both;41.2468382;-8.0573311;0.3 MW;PT03DOU0341;27/09/1999;27/09/2034;Rio Ovelha;Energia;Exact;"Alvará de Licença nº 005/C     AHE de 23 de
abril de 1996";1227567401;CEOV - Companhia Extracção de Óleos Vegetais;-;RH3;Douro;Aproveitamento Hidroelétrico da Lomba;Douro
Mairos;APA;;;;PT03DOU0166;23/04/2013;23/04/2033;Ribeira de Arcosso;Rega;;CC N.º 00004/2013-RH3.1212A, de 23.4.2013;;;-;RH3;Douro;;Douro
Miranda do Douro;APA;;;;PT03DOU0245;08/03/2008;31/12/2042;Albufeira de Miranda;Energia;;CC N.º  09/ENERGIA/INAG/2008;;;Abastecimento público - CC;RH3;Douro;;Douro
Misarela;APA;;;;PT03DOU0369;08/09/1999;08/09/2034;Ribeiro de Temilobos;Energia;;Alvará de Licença nº 22, de 08/09/1999;;;-;RH3;Douro;;Douro
Moinhos de Moiratão;Both;40.9027418;-7.3360174;0.4 MW;PT03DOU0437B;10/10/2011;10/10/2046;Ribeira da Teja;Energia;Exact;C00002/2010-RH3.12.A, de 16/04/2010;1227819034;Moinhos de Moiratão;-;RH3;Douro;Aproveitamento Hidroelétrico de Moinhos de Moiratão;Douro
Nunes;Both;41.818785;-6.9834919;8.7 MW;PT03DOU0180;16/02/1995;15/02/2030;Rio Tuela;Energia;Exact;Alvará de Licença Nº16/89 de 3.1.1990;1051431068;Aquila Capital;-;RH3;Douro;Central Hidroelétrica de Nunes;Douro
Ovadas;Both;41.0558883;-7.99449;5.6 MW;PT03DOU0394;25/06/1991;24/06/2026;Rio Cabrum;Energia;Exact;Alvará de Licença Nº 77 de 21.1.1991;1227567386;Aquila Capital;-;RH3;Douro;Aproveitamento Hidroelétrico de Ovadas;Douro
