Bacia Hidrográfica;Aproveitamento Hidráulico;N.º Contrato Concessão (CC);Finalidade CC;Data CC - Início;Data CC - Termo;Outros Usos albufeira;RH;Região hidrográfica;Código da massa de água;Designação da Massa de água
Mondego;Covão da Erva da Fome;"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0617;"Ribeira da Fervença (HMWB -
Jusante B. Vale Rossim)"
Mondego;Covão do Boieiro/Boeiro;"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0634;Ribeira de Loriga
Mondego;Covão do Curral;"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0624;"Ribeira da Caniça (HMWB -
Jusante B. Lagoa Comprida)"
Mondego;Covão do Forno;"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0624;"Ribeira da Caniça (HMWB -
Jusante B. Lagoa Comprida)"
Mondego;Covão do Meio;"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0634;Ribeira de Loriga
Mondego;Covão do Vale do Conde;"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0621;Ribeiro do Covão do Urso
Mondego;Covão dos Conchos;"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0621;Ribeiro do Covão do Urso
Mondego;"Fronhas - deriva para central
da Aguieira";CC N.º 19/ENERGIA/INAG/2008 e adenda;Energia;08/03/2008;31/12/2052;-;RH4A;Vouga, Mondego e Lis;PT04MON0654;Albufeira das Fronhas
Mondego;"Lagoa Comprida (Barragem
Marques da Silva)";"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;Lazer;RH4A;Vouga, Mondego e Lis;PT04MON0629;Albufeira Lagoa Comprida
Mondego;Lagoacho;"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0621;Ribeiro do Covão do Urso
Mondego;Levada-a-Velha;Alvará de Licença N.º 230/96 – MH (1);Energia;31/12/1996;31/12/2031;-;RH4A;Vouga, Mondego e Lis;PT04MON0578;Rio Dão
Mondego;MACIEIRA;CC N.º 01/REGA/CAP.SUP./RH4/2020;Rega;17/12/2020;17/12/2045;-;RH4A;Vouga, Mondego e Lis;PT04MON0623;Ribeira de Mortágua
Mondego;Moinhos;Alvará Licença nº 836/97 - MH(16);Energia;28/11/1997;28/11/2032;Rega - CC;RH4A;Vouga, Mondego e Lis;PT04MON0600;Rio do Castelo
Mondego;Múceres;Alvará de Licença n.º 120/97 - MH(9);Energia;10/02/1997;10/02/2032;-;RH4A;Vouga, Mondego e Lis;PT04MON0603;Rio Criz
Mondego;"Nossa Senhora do Desterro
(Açude do Poço Negro)";"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;Abastecimento público - CC;RH4A;Vouga, Mondego e Lis;PT04MON0626;Rio Alva
Mondego;Penacova;Alvará de Licença N.º 307/96 – MH (3);Energia;01/04/2002;01/04/2037;-;RH4A;Vouga, Mondego e Lis;PT04MON0638A;"Rio Mondego (HMWB - Jusante
Aç. Raiva)"
Mondego;Ponte de Fagilde;Alvará de Licença nº 237/96-MH(2);Energia;30/11/1998;30/11/2033;-;RH4A;Vouga, Mondego e Lis;PT04MON0598;"Rio Dão (HMWB - Jusante B.
Fagilde)"
Mondego;Ponte de Jugais;"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0626;Rio Alva
Mondego;Raiva;CC N.º 20/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2053;-;RH4A;Vouga, Mondego e Lis;PT04MON0635;Albufeira da Raiva
Mondego;Rei de Moinhos (v);Decreto de 5 de agosto de 1939;Energia;05/08/1939;05/08/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0658;Rio Alva
Mondego;Ribeira do Paúl;CC N.º 02/ABAST/ARHC/2012;Industrial;11/07/2012;11/07/2047;-;RH4A;Vouga, Mondego e Lis;PT04MON0608;Rio Dinha
Mondego;Vale do Rossim;"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0620;Albufeira de Vale Rossim
Mondego;Vila Cova;"Decreto de concessão de  9 de outubro de
1968";Energia;09/10/1968;09/10/2028;-;RH4A;Vouga, Mondego e Lis;PT04MON0626;Rio Alva
Vouga;"Açude Malhada de
Cambarinho";A007913.2013.RH4;Rega;24/05/2013;24/05/2023;-;RH4A;Vouga, Mondego e Lis;PT04VOU0548;Rio Alfusqueiro
Vouga;Águas Frias;Alvará de Licença nº 119/97 - MH (8);Energia;10/02/1997;10/02/2032;-;RH4A;Vouga, Mondego e Lis;PT04VOU0515;Rio Sul
Vouga;Aproveitamento Hidroelétrico de Lourizela (Lote 7C);CC N.º 01/ENERGIA/APA-ARHC/2021;Energia;09/09/2024;09/09/2069;-;RH4A;Vouga, Mondego e Lis;PT04VOU0528A;Rio Lordelo
Vouga;Aproveitamento Hidroelétrico de Rio de Mel (Lote 8C);CC N.º 01/ENERGIA/APA-ARHC/2017;Energia;30/09/2019;30/09/2064;-;RH4A;Vouga, Mondego e Lis;PT04VOU0519;Rio de Mel
Vouga;Areeiro;Alvará de Licença N.º 76;Energia;31/12/1993;31/12/2028;-;RH4A;Vouga, Mondego e Lis;PT04VOU0523;Rio Caima
Vouga;Bertelhe;Alvará de Licença N.º 251/96 - MH (4);Energia;31/12/1996;31/12/2031;-;RH4A;Vouga, Mondego e Lis;PT04VOU0520;Rio Vouga
Vouga;"Burgães (Barragem Eng.º
Duarte Pacheco)";CC N.º 01/AGRIC/SUP/RH4/2017;Rega;14/11/2017;14/11/2037;Abastecimento público - CC;RH4A;Vouga, Mondego e Lis;PT04VOU0506;Rio Caima
Vouga;Carregal / Manhouce;Alvará de Licença N.º 62;Energia;09/10/1992;09/10/2027;-;RH4A;Vouga, Mondego e Lis;PT04VOU0513A;Rio Teixeira
Vouga;Cercosa;Alvara Licença Nº 15/89;Energia;14/05/1997;14/05/2032;-;RH4A;Vouga, Mondego e Lis;PT04VOU0548;Rio Alfusqueiro
Vouga;Ermida (Ribeiradio);CC N.º 02/2009 e 3 adendas;Energia;31/07/2015;31/07/2090;-;RH4A;Vouga, Mondego e Lis;PT04VOU0546B;Albufeira de Ermida
Vouga;Fumadinha;CC N.º 9/ABAST/ARH Centro;Lazer;17/07/2009;15/09/2030;-;RH4A;Vouga, Mondego e Lis;PT04VOU0516;Rio Vouga
Vouga;Grela;Alvará de Licença N.º 101;Energia;25/11/1993;25/11/2038;-;RH4A;Vouga, Mondego e Lis;PT04VOU0546A;"Rio Vouga (HMWB - Jusante B.
Ermida)"
Vouga;Ossela (Carvalhal);Alvará de Licença nº 7/89;Energia;21/11/1990;21/11/2045;-;RH4A;Vouga, Mondego e Lis;PT04VOU0523;Rio Caima
Vouga;Palhal;Alvará de Licença nº 44  de 25.6.1990;Energia;31/12/1991;31/12/2026;-;RH4A;Vouga, Mondego e Lis;PT04VOU0553;Rio Vouga
Vouga;Paredes;Alvará de Licença nº 67;Energia;16/02/1996;16/02/2031;-;RH4A;Vouga, Mondego e Lis;PT04VOU0529A;Rio Valoso
Vouga;Pego;Alvará de Licença N.º 10/C – A.H.E.;Energia;09/03/1998;09/03/2033;-;RH4A;Vouga, Mondego e Lis;PT04VOU0523;Rio Caima
Vouga;Pereiras;A017574.2016.RH4A;Rega;em avaliação;em avaliação;-;RH4A;Vouga, Mondego e Lis;PT04VOU0548;Rio Alfusqueiro
Vouga;Ponte do Vouguinha;Alvará de Licença N.º 802/97 - MH(15);Energia;28/11/1997;28/11/2032;-;RH4A;Vouga, Mondego e Lis;PT04VOU0520;Rio Vouga
Vouga;Quinta de Valgode;Alvará de Licença n.º 873/96  - MH(7);Energia;05/12/1996;05/12/2031;-;RH4A;Vouga, Mondego e Lis;PT04VOU0530A;Rio Vouga
Vouga;Ribeiradio;CC N.º 02/2009 e 3 adendas;Energia;31/07/2015;31/07/2090;-;RH4A;Vouga, Mondego e Lis;PT04VOU0546C;Albufeira de Ribeiradio
Vouga;S. Pedro do Sul;Alvará de Licença nº 73;Energia;31/01/1994;31/01/2029;-;RH4A;Vouga, Mondego e Lis;PT04VOU0530A;Rio Vouga
Vouga;Soutinho;Alvará de Licença nº 38;Energia;31/12/1991;31/12/2026;-;RH4A;Vouga, Mondego e Lis;PT04VOU0560;Rio Águeda
Vouga;Talhadas (Lourizela);Alvará de Licença N.º 23;Energia;em avaliação;em avaliação;-;RH4A;Vouga, Mondego e Lis;PT04VOU0559;Rio Águeda
Vouga;Teixo e Dornas;CC N.º  01/C/E/CC DR/Centro/2008;Energia;06/11/2009;06/11/2044;-;RH4A;Vouga, Mondego e Lis;PT04VOU0556;Ribeira de Souto
Vouga;Várzea de Calde;CC N.º 01/AGRIC/SUP/RH4/2015;Rega;16/01/2015;16/01/2035;Abastecimento público - CC;RH4A;Vouga, Mondego e Lis;PT04VOU0520;Rio Vouga
Vouga;Vilar do Monte;CC N.º 05/2009;Energia;22/08/2018;22/08/2053;-;RH4A;Vouga, Mondego e Lis;PT04VOU0520;Rio Vouga
"Ribeiras do
Oeste";"Açude do Aproveitemento
Hidroagricola de Cela";ARHT/0021.11/T/C.CA.S;Rega;18/04/2011;18/04/2031;-;RH5A;Tejo e Ribeiras do Oeste;PT05RDW1157;Rio Alcoa
"Ribeiras do
Oeste";Alvorninha;ARHT/082.13/R/C.CA.S/APA/2013;Rega;30/04/2013;30/04/2033;-;RH5A;Tejo e Ribeiras do Oeste;PT05RDW1163;Rio da Tornada
"Ribeiras do
Oeste";Óbidos;ARHTO/120.16/R/C.CAS, 24.11.2016;Rega;24/11/2016;31/12/2036;-;RH5A;Tejo e Ribeiras do Oeste;PT05RDW1169A;Rio Real
Tejo;Açafal;APA/ARHTO/012.20/T/C.CA.S;Rega;12/06/2020;31/12/2045;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0896A;Ribeira do Açafal
Tejo;Alforfa;Alvará de Licença de 16.1.1995;Energia;16/01/1995;16/01/2030;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0749;Ribeira de Alforfa
Tejo;Apartadura;CC n.º ARHTO/016.20/R/C.CAS;Rega;01/01/2009;20/04/2031;Abastecimento público - CC;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0964;Albufeira da Apartadura
Tejo;Barroca;ARHT/2181.09/T/C.CA.S;Energia;11/04/2009;11/04/2032;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0785;Rio Zêzere
Tejo;Belver;"Decreto de 14 de agosto de 1947 publicado com o caderno de encargos no DG de 1 de
setembro de 1947";Energia;01/09/1947;09/10/2027;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0936;Albufeira de Belver
Tejo;Bouçã;CC N.º  25/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2032;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0850A;Albufeira da Bouçã
Tejo;"Caldas de Manteigas (Açude
do AH)";Alvará de Licença nº 90 de 28.2.1992;Energia;em avaliação;em avaliação;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0740;Rio Zêzere
Tejo;Carreteira;APA/ARHTO/001.19/T/C.CA.S;Rega;28/03/2019;em avaliação;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ1020;Ribeiro das Vinhas
Tejo;Carril;APA/ARHTO/013.20/T/C.CA.S;Rega;01/07/2020;31/12/2040;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0917;Rio Nabão
Tejo;Castelo de Bode;CC N.º  26/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2032;"Abastecimento público - CC;
Lazer/Balnear";RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0914A;Albufeira de Castelo do Bode
Tejo;"Covão Nave ( BARRAGEM DO
Covão do Ferro)";Licença de Alvará de 16.1.1995;Energia;16/01/1995;16/01/2030;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0749;Ribeira de Alforfa
Tejo;Cristalina (Ribeira de Vide);APA/ARHTO/020.19 /T/C.CA.S;Rega;12/12/2019;12/12/2029;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ1010;Ribeira de Vide
Tejo;Divor;ARHT/0035.11/T/C.CA.S;Rega;03/06/2011;03/06/2031;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ1128;Albufeira do Divor
Tejo;Estrela;Licença de Alvará de 16.1.1995;Energia;16/01/1995;16/01/2030;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0749;Ribeira de Alforfa
Tejo;Fratel;CC N.º  22/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0913A;Albufeira do Fratel
Tejo;Freixeirinha;ARHTO/02.21/T/C.CAS;Rega;21/03/2022;30/04/2046;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ1108B;Albufeira da Freixeirinha
Tejo;Furadouro;ARHT/2071.10/T/C.CA.S;Rega;02/12/2010;02/12/2030;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ1035;"Ribeira da Raia (HMWB -
Jusante B. Maranhão)"
Tejo;Gameiro;ARHT/2071.10/T/C.CA.S;Rega;02/12/2010;02/12/2030;Energia;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ1035;"Ribeira da Raia (HMWB -
Jusante B. Maranhão)"
Tejo;Idanha (Marechal Carmona);ARHT/0004.11/T/C.CA.S;Rega;29/04/2011;29/04/2031;Energia;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0818;"Albufeira Marechal Carmona -
Idanha"
Tejo;"Janeiro de Cima (Açude do
AH)/ ""Porto das Vacas""";"Alvará de Licença nº 64 de 6 de novembro de
1990";Energia;em avaliação;em avaliação;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0798;Rio Zêzere
Tejo;Lapa;Alvará de Licença n.º 86;Rega;30/09/1991;em avaliação;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0934;Ribeira de Arcês
Tejo;Magos;ARHT/2071.10/T/C.CA.S;Rega;02/12/2010;02/12/2030;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ1033;Albufeira de Magos
Tejo;Maranhão;ARHT/2071.10/T/C.CA.S;Rega;02/12/2010;02/12/2030;"Energia; Industrial";RH5A;Tejo e Ribeiras do Oeste;PT05TEJ1030A;Albufeira do Maranhão
Tejo;Minutos;ARHTO/0034.11/T/C.CA.S;Rega;01/06/2011;01/06/2031;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ1142;Albufeira dos Minutos
Tejo;Montargil;ARHT/2071.10/T/C.CA.S;Rega;02/12/2010;02/12/2030;"Energia; Industrial; Lazer";RH5A;Tejo e Ribeiras do Oeste;PT05TEJ1015;Albufeira de Montargil
Tejo;Pedra Figueira;Licença de Alvará de 16.1.1995;Energia;16/01/1995;16/01/2030;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0749;Ribeira de Alforfa
Tejo;Pracana;CC N.º  23/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;-;RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0910;Albufeira da Pracana
Tejo;Santa Luzia;Decreto de 21 de fevereiro de 1957;Energia;21/02/1957;01/01/2028;"Abastecimento público - CC;
Lazer/Balnear";RH5A;Tejo e Ribeiras do Oeste;PT05TEJ0783;Albufeira de Santa Luzia
Costeiras;Morgavel;CC 1/CSp/SD/2009;Industrial;17/07/2009;27/12/2031;-;RH6;Sado e Mira;PT06SUL1645;Albufeira de Morgavel
Mira;Corte Brique;CC N.º 8/CSB/MR/2011;Rega;27/10/2011;31/12/2030;-;RH6;Sado e Mira;PT06MIR1386;Ribeira de Corte Brique
Mira;Santa Clara;CC N.º 8/CSB/MR/2011;Rega e energia;27/10/2011;31/12/2030;"Abastecimento público - CC;
Industrial; Balnear";RH6;Sado e Mira;PT06MIR1392;Albufeira de Santa Clara
Sado;Açude de Benecolares;CC N.º 3/CSB/SD/2011 de 30.09.2011;Rega;30/09/2011;31/12/2030;-;RH6;Sado e Mira;PT06SAD1337;Ribeira de São Domingos
Sado;Açude Marruais;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH6;Sado e Mira;PT06SAD1273;Albufeira de Alvito
Sado;Açude Monte do Bolor;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH6;Sado e Mira;PT06SAD1306A;Ribeira do Álamo
Sado;Açude Vale de Carro;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH6;Sado e Mira;PT06SAD1273;Albufeira de Alvito
Sado;Açude Vale do Zebro;CC N.º 3/CSB/SD/2011 de 30.09.2011;Rega;30/09/2011;31/12/2030;-;RH6;Sado e Mira;PT06SAD1337;Ribeira de São Domingos
Sado;Alvito;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;"Abastecimento público - CC;
Energia";RH6;Sado e Mira;PT06SAD1273;Albufeira de Alvito
Sado;Campilhas;CC N.º 3/CSB/SD/2011 de 30.09.2011;Rega;30/09/2011;31/12/2030;-;RH6;Sado e Mira;PT06SAD1345;Albufeira de Campilhas
Sado;Cinco Reis;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;Balnear;RH6;Sado e Mira;PT06SAD1323;Ribeira do Outeiro
Sado;"Ferreira ou reservatorio do
bloco III";CC N.º 2/CSP/SD/2013 de 29.10.2013;Rega;29/10/2013;31/12/2030;-;RH6;Sado e Mira;PT06SAD1304;Ribeira da Capela
Sado;Fonte Serne;CC N.º 3/CSB/SD/2011 de 30.09.2011;Rega;30/09/2011;31/12/2030;-;RH6;Sado e Mira;PT06SAD1340;Albufeira de Fonte Serne
Sado;Lagoa Vermelha;CC N.º 2/CSP/SD/2013 de 29.10.2013;Rega;29/10/2013;31/12/2030;-;RH6;Sado e Mira;PT06SAD1311A;Ribeira da Figueira
Sado;Marmelo (Monte Marmelo);CC N.º 2/CSP/SD/2013 de 29.10.2013;Rega;29/10/2013;31/12/2030;-;RH6;Sado e Mira;PT06SAD1311A;Ribeira da Figueira
Sado;Monte Branco;CC N.º 2/CSP/SD/2013 de 29.10.2013;Rega;29/10/2013;31/12/2030;-;RH6;Sado e Mira;PT06SAD1311A;Ribeira da Figueira
Sado;Monte da Rocha;CC N.º 3/CSB/SD/2011 de 30.09.2011;Rega;30/09/2011;31/12/2030;Abastecimento público - CC;RH6;Sado e Mira;PT06SAD1361;Albufeira Monte da Rocha
Sado;Monte Gato;CC N.º 3/CSB/SD/2011 de 30.09.2011;Rega;30/09/2011;31/12/2030;-;RH6;Sado e Mira;PT06SAD1357;Ribeira da Ferraria
Sado;Monte Miguéis;CC N.º 3/CSB/SD/2011 de 30.09.2011;Rega;30/09/2011;31/12/2030;-;RH6;Sado e Mira;PT06SAD1357;Ribeira da Ferraria
Sado;Odivelas;CC N.º 2/CSP/SD/2013 de 29.10.2013;Rega;29/10/2013;31/12/2030;Energia;RH6;Sado e Mira;PT06SAD1290;Albufeira de Odivelas
Sado;Pego do Altar;CC N.º 9/CSP/SD/2011 de 27.10.2011;Rega;27/10/2011;31/12/2030;Energia;RH6;Sado e Mira;PT06SAD1235;Albufeira de Pego do Altar
Sado;Penedrão;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH6;Sado e Mira;PT06SAD1309C;Albufeira de Penedrão
Sado;Pisão;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;Energia;RH6;Sado e Mira;PT06SAD1303A;Albufeira do Pisão
Sado;Roxo;CC N.º 7/CSB/SD/2011;Rega;27/10/2011;31/12/2030;"Abastecimento público - CC;
Industrial; Energia";RH6;Sado e Mira;PT06SAD1331;Albufeira do Roxo
Sado;Vale do Gaio;CC N.º 9/CSP/SD/2011 de 27.10.2011;Rega;27/10/2011;31/12/2030;Energia;RH6;Sado e Mira;PT06SAD1276;"Albufeira Trigo de Morais - Vale
do Gaio"
Guadiana;Abrilongo;CC N.º 8/CSP/GD/2012 de 16.11.2012;Rega;16/11/2012;31/12/2030;-;RH7;Guadiana;PT07GUA1407;Albufeira de Abrilongo
Guadiana;Álamos I;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH7;Guadiana;PT07GUA1487G;"Sistema de Albufeiras Álamo I
e II"
Guadiana;Álamos II;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH7;Guadiana;PT07GUA1487G;"Sistema de Albufeiras Álamo I
e II"
Guadiana;Álamos III;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH7;Guadiana;PT07GUA1487B;"Albufeira de Alqueva (Braço
Degebe)"
Guadiana;Almeidas;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH7;Guadiana;PT07GUA1509A;Albufeira de São Pedro
Guadiana;Alqueva;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;"Abastecimento público - CC;
Energia; Balnear/Lazer";RH7;Guadiana;PT07GUA1487A;Albufeira de Alqueva (Principal)
Guadiana;Amendoeira;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH7;Guadiana;PT07GUA1509A;Albufeira de São Pedro
Guadiana;Amoreira;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;Energia;RH7;Guadiana;PT07GUA1515C;Albufeira da Amoreira
Guadiana;Beliche;"CC N.º  7/APA/ARHAlgarve/2012; CC
1/EFM/2021 de 25.1.2022";Rega;25/02/2022;31/12/2048;-;RH7;Guadiana;PT07GUA1624;Albufeira de Beliche
Guadiana;Brinches;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;Energia;RH7;Guadiana;PT07GUA1520B;Albufeira de Brinches
Guadiana;Caia;CC N.º 6/CSB/GD/2012 de 16.11.2012;Rega;16/11/2012;31/12/2030;"Abastecimento público - CC;
Energia";RH7;Guadiana;PT07GUA1422;Albufeira do Caia
Guadiana;Caliços;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH7;Guadiana;PT07GUA1500;Ribeira Vale de Cervas
Guadiana;Furta Galinhas;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH7;Guadiana;PT07GUA1502;Ribeira de Brenhas
Guadiana;Laje;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH7;Guadiana;PT07GUA1527A;Albufeira da Laje
Guadiana;Loureiro;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH7;Guadiana;PT07GUA1473C;Albufeira do Loureiro
Guadiana;Lucefecit;CC N.º 4/CSB/SD/2011 de 27.10.2011;Rega;27/11/2011;31/12/2030;-;RH7;Guadiana;PT07GUA1441;Albufeira de Lucefecit
Guadiana;Magra;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;Abastecimento público - CC;RH7;Guadiana;PT07GUA1534A;Ribeira da Cardeira
Guadiana;Monte Novo;CC N.º 1/CSP/GD/2010 de 6.8.2010;Rega;06/08/2010;13/03/2033;-;RH7;Guadiana;PT07GUA1458A;Albufeira do Monte Novo
Guadiana;Odeleite;"CC N.º 3/APA/ARHAlgarve/2012; CC N.º
1/EFM/2021 de 25.1.2022";Rega;25/02/2022;31/12/2048;"Abastecimento público - CC;
Balnear";RH7;Guadiana;PT07GUA1618;Albufeira de Odeleite
Guadiana;Pedrógão;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;"Energia; lazer";RH7;Guadiana;PT07GUA1513;Albufeira de Pedrogão
Guadiana;Pias;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH7;Guadiana;PT07GUA1515B2;Albufeira de Pias
Guadiana;São Pedro;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;Energia;RH7;Guadiana;PT07GUA1509A;Albufeira de São Pedro
Guadiana;Selmes;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;-;RH7;Guadiana;PT07GUA1506;Barranco da Cabrita
Guadiana;Serpa;"CC para utilização dos recursoso hídricos no
EFMA assinado em  17/10/2007";Rega;17/10/2007;16/10/2082;Energia;RH7;Guadiana;PT07GUA1531B;Albufeira de Serpa
Guadiana;Vigia;CC N.º 7/CSB/GD/2012 de 16.11.2012;Rega;16/11/2012;31/12/2030;Abastecimento público - CC;RH7;Guadiana;PT07GUA1455;Albufeira da Vigia
"Ribeiras do
Algarve";Arade;CC N.º 2/APA/ARHAlgarve/2012;Rega;16/11/2012;31/12/2030;Energia;RH8;Ribeiras do Algarve;PT08RDA1669;Albufeira do Arade
"Ribeiras do
Algarve";Bravura (Odeáxere);CC N.º 1/APA/ARHAlgarve/2012;Rega;16/11/2012;10/03/2031;"Abastecimento público - CC;
Energia";RH8;Ribeiras do Algarve;PT08RDA1679;Albufeira de Odiáxere - Bravura
