Bacia Hidrográfica;Aproveitamento Hidráulico;N.º Contrato Concessão (CC);Finalidade CC;Data CC - Início;Data CC - Termo;Outros Usos albufeira;RH;Região hidrográfica;Código da massa de água;Designação da Massa de água
Cávado;"Freitas (deriva para AH
Vilarinho das Furnas)";CC N.º  08/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;-;RH2;Cávado, Ave e Leça;PT02CAV0079;Rio Caldo
Cávado;Gemesura (deriva para AH Vilarinho das Furnas);CC N.º  08/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;-;RH2;Cávado, Ave e Leça;PT02CAV0070;Rio Homem (HMWB - Jusante B. Vilarinho das Furnas)
Cávado;Mesa do Galo_Borralha;"Alvará de Licença nº 009/C.-A.H.E, de
18/11/1997";Energia;18/11/1997;18/11/2032;-;RH2;Cávado, Ave e Leça;PT02CAV0084;Ribeira de Amiar
Cávado;Paradela;CC N.º  05/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2032;-;RH2;Cávado, Ave e Leça;PT02CAV0068;Albufeira de Paradela
Cávado;"Penedo (deriva para AH
Paradela)";CC N.º  05/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2032;-;RH2;Cávado, Ave e Leça;PT02CAV0073;Ribeira de Cabril
Cávado;Penide;"Decreto de 24 de abril de 1967, publicado a
24.4.1967";Energia;24/04/1967;23/04/2027;Abastecimento público - CC;RH2;Cávado, Ave e Leça;PT02CAV0095;Rio Cávado
Cávado;Ponte do Bico/Palmeira;Alvará de Licença nº 60/90 de 17/10/1990;Energia;em avaliação;em avaliação;-;RH2;Cávado, Ave e Leça;PT02CAV0090;"Rio Cávado (HMWB - Jusante
B. Caniçada)"
Cávado;Ruães;"Alvará de Licença Nº 028/C-A.H.E. de 19-09-
2003";Energia;19/09/2003;29/05/2036;-;RH2;Cávado, Ave e Leça;PT02CAV0095;Rio Cávado
Cávado;Ruivães (Açude);"CC N.º 00013/2009-RH2.1196.E de
16/09/2009";Energia;01/01/2017;01/01/2052;-;RH2;Cávado, Ave e Leça;PT02CAV0082;Rio de Saltadouro
Cávado;Salamonde;CC N.º  06/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2070;-;RH2;Cávado, Ave e Leça;PT02CAV0080;Albufeira de Salamonde
Cávado;Sela (deriva para AH Paradela);CC N.º  05/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2032;-;RH2;Cávado, Ave e Leça;PT02CAV0076;"Rio Cávado (HMWB - Jusante
B. Paradela)"
Cávado;"Toco (deriva para AH
Paradela)";CC N.º  05/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2032;-;RH2;Cávado, Ave e Leça;PT02CAV0077;Rio de Fafião
Cávado;Venda Nova;CC N.º  04/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2070;Abastecimento público - CC;RH2;Cávado, Ave e Leça;PT02CAV0083;Albufeira da Venda Nova
Cávado;Vilarinho das Furnas;CC N.º  08/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;-;RH2;Cávado, Ave e Leça;PT02CAV0069;"Albufeira de Vilarinho das
Furnas"
Douro;"Açude de Covas (AH de Covas
do Barroso)";Alvará de Licença nº 111, de 01/09/1993;Energia;07/02/1995;07/02/2030;-;RH3;Douro;PT03DOU0204;Rio Covas
Douro;"Açude do Couto (AH de Covas
do Barroso)";Alvará de Licença nº 111, de 01/09/1993;Energia;07/02/1995;07/02/2030;-;RH3;Douro;PT03DOU0204;Rio Covas
Douro;"Açude na Rª de Chã do Meio
(deriva para AH Vales)";C00005/2010-RH3.12.A;Energia;02/07/1905;09/03/2044;-;RH3;Douro;PT03DOU0263;Rio Tinhela
Douro;Açude Vales;C00005/2010-RH3.12.A,;Energia;02/07/1905;09/03/2044;-;RH3;Douro;PT03DOU0263;Rio Tinhela
Douro;"Açude Veiga de Chaves/Aç.
Vila Verde da Raia";CC N.º 002/2018-RH3.1212.A, de 19.6.2018;Rega;19/06/2018;12/02/2036;-;RH3;Douro;PT03DOU0226NA1;Rio Tâmega
Douro;"Açude-Ponte de Mirandela
(AH Ponte Europa)";C00010/2010-RH3-1214-A, de 25/11/2010;Energia;25/11/2010;08/10/2044;-;RH3;Douro;PT03DOU0331B;Rio Tua
Douro;Agilde;C00004/2010,RH3.12.12.A, de 20/05/2010;Energia;01/10/2012;01/10/2047;-;RH3;Douro;PT03DOU0297;Ribeira de Santa Natália
Douro;Alfaiates;CC N.º 00002/2021-RH3.12A, de 24.3.2021;Rega;24/03/2021;31/12/2046;Lazer (balnear);RH3;Douro;PT03DOU0494;Ribeira da Aldeia da Ponte
Douro;Alfândega da Fé (Estevainha);CC N.º 00021/2012-RH3.12.A, de 16.11.2012;Rega;16/11/2012;16/11/2032;"Abastecimento público - CC;
Lazer";RH3;Douro;PT03DOU0318A;Ribeira do Calvário
Douro;Alto Tâmega;CC N.º  32/ENERGIA/APA/2014;Energia;22/07/2022;31/12/2072;-;RH3;Douro;PT03DOU0226NA1;Rio Tâmega
Douro;Alvadia;Alvará de Licença nº 10/89, de 04/12/1989;Energia;em avaliação;em avaliação;-;RH3;Douro;PT03DOU0255D;Rio Poio
Douro;Arcossó;CC N.º 002/2018-RH3.1212.A, de 19.6.2018;Rega;19/06/2018;12/02/2036;Abastecimento público - CC;RH3;Douro;PT03DOU0166;Ribeira de Arcosso
Douro;Aregos;C00003/2011-RH3.12.A, de 29.7.2011;Energia;29/07/2011;01/07/2028;-;RH3;Douro;PT03DOU0394;Rio Cabrum
Douro;"Armamar / (Temilobos,
Lumiares)";CC N.º 00007/2013-RH3.12.A, de 23.4.2013;Rega;23/04/2013;23/04/2033;Abastecimento público - CC;RH3;Douro;PT03DOU0396;Ribeiro de Temilobos
Douro;Assobio;"Alvará de Utilização de Água nº 18 de
17/05/1999";Energia;17/05/1999;17/05/2034;-;RH3;Douro;PT03DOU0382;Ribeiro do Zêzere
Douro;Azibo;CC N.º 00005/2021-RH3.12.A, de 14.10.2021;Rega;14/10/2021;11/05/2041;-;RH3;Douro;PT03DOU0223;Albufeira do Azibo
Douro;"Baixo Sabor (escalão de
montante)";CC N.º  27/ENERGIA/INAG/2008;Energia;01/07/2015;31/07/2090;-;RH3;Douro;PT03DOU0335D;Albufeira do Baixo Sabor
